player_name,time,lat,lon,speed,heart_rate,hacc,hdop,signal_quality,num_satellites,inst_acc_impulse,accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,11:56:03.5,58.77549117,5.63286883,0.0,0,7,25,340,17,0.0,0.1390625,1.00246710526316,0.68828125,0.02001953125,0.086181640625,-0.029052734375
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,11:56:03.5,58.77549117,5.63286883,0.0,0,7,25,340,17,0.0,0.17265625,0.977796052631579,0.63671875,0.025634765625,0.082763671875,-0.03515625
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,11:56:03.5,58.77549117,5.63286883,0.0,0,7,25,340,17,0.0,0.20859375,0.980263157894737,0.56875,0.013427734375,0.0791015625,-0.037841796875
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,11:56:03.5,58.77549117,5.63286883,0.0,0,7,25,340,17,0.0,0.23125,0.963815789473684,0.53671875,0.001953125,0.07177734375,-0.038330078125
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,11:56:03.5,58.77549117,5.63286883,0.0,0,7,25,340,17,0.0,0.2265625,0.909539473684211,0.51875,0.000244140625,0.06396484375,-0.0390625
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,11:56:03.6,58.775487,5.63286,0.0,0,7,25,340,17,0.0,0.203125,0.842105263157895,0.48671875,-0.00146484375,0.059326171875,-0.0390625
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,11:56:03.6,58.775487,5.63286,0.0,0,7,25,340,17,0.0,0.18203125,0.796875,0.45,-0.00927734375,0.056640625,-0.0380859375
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,11:56:03.6,58.775487,5.63286,0.0,0,7,25,340,17,0.0,0.171875,0.784539473684211,0.421875,-0.01708984375,0.05517578125,-0.036865234375
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,11:56:03.6,58.775487,5.63286,0.0,0,7,25,340,17,0.0,0.16171875,0.78125,0.4,-0.02001953125,0.058837890625,-0.03515625
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,11:56:03.6,58.775487,5.63286,0.0,0,7,25,340,17,0.0,0.1546875,0.771381578947368,0.384375,-0.019775390625,0.064453125,-0.033935546875
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,11:56:03.6,58.775487,5.63286,0.0,0,7,25,340,17,0.0,0.1515625,0.763157894736842,0.36875,-0.018310546875,0.064697265625,-0.033447265625
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,11:56:03.6,58.775487,5.63286,0.0,0,7,25,340,17,0.0,0.1421875,0.763980263157895,0.353125,-0.017333984375,0.064697265625,-0.033935546875
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,11:56:03.6,58.775487,5.63286,0.0,0,7,25,340,17,0.0,0.1296875,0.769736842105263,0.34140625,-0.01513671875,0.067138671875,-0.03662109375
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,11:56:03.6,58.775487,5.63286,0.0,0,7,25,340,17,0.0,0.1171875,0.779605263157895,0.3296875,-0.011474609375,0.0712890625,-0.041015625
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,11:56:03.6,58.775487,5.63286,0.0,0,7,25,340,17,0.0,0.10390625,0.795230263157895,0.3171875,-0.006591796875,0.07763671875,-0.044677734375
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,11:56:05.2,58.77550167,5.632926,0.0,82,7,25,0,0,0.0,0.096875,0.816611842105263,0.3046875,0.000244140625,0.081787109375,-0.045654296875
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,11:56:05.2,58.77550167,5.632926,0.0,82,7,25,0,0,0.0,0.09921875,0.835526315789474,0.29140625,0.007080078125,0.081298828125,-0.045654296875
